,noaa,time_0,lat_0,lon_0,th_0,f_0,fn_0,fp_0,a_f_0,a_fn_0,a_fp_0,hmin_0,hmax_0,time_1,dtime_1,lat_1,lon_1,th_1,f_1,fn_1,fp_1,a_f_1,a_fn_1,a_fp_1,f_rate_1,hmin_1,hmax_1,vmin_1,th_vmin_1,vmax_1,th_vmax_1,vnmean_1,th_vnmean_1,vpmean_1,th_vpmean_1,time_2,dtime_2,lat_2,lon_2,th_2,sm,f_2,fn_2,fp_2,a_f_2,a_fn_2,a_fp_2,f_rate_2,hmin_2,hmax_2,s_a_2,s_n_2,s_big_a_2
10,8715,1999-10-04 10:34:00,10.25958,0.60449654,3.7520244,1.4084595e+20,-1.0859062e+20,4.327818e+19,1.3664633e+18,46.363636,22.90909,-223.87065,188.98177,1999-10-04 22:34:00,12.0,10.192615,6.5707855,7.400961,6.492622e+20,-3.090816e+20,1.5684255e+20,2.8797452e+18,72.272736,45.81818,4.2368023e+19,-1140.753,798.574,-346.35138,4.1042233,614.55725,6.9287934,-85.229515,5.7502522,114.46636,6.57496,1999-10-04 20:44:59,13.783333,10.1947975,6.4514503,7.4010034,,6.676057e+20,-4.269676e+20,2.4063816e+20,2.9965796e+18,89.45454,57.318165,3.8217155e+19,-1140.7522,798.5738,0.67590415,1.0,0.67590415
11,8757,1999-11-04 14:18:00,38.022408,-26.27501,41.60694,9.927528e+18,-1.4836488e+20,9.994805e+18,1.2931255e+17,59.090916,5.4545445,-86.895004,94.59202,1999-11-05 02:18:00,12.0,38.13271,-19.914722,38.716488,3.673885e+20,-2.6474667e+20,1.5954468e+20,2.0836023e+18,90.36366,31.363655,2.9788415e+19,-685.2899,661.53485,-849.48193,39.465523,995.3826,40.988,-214.44713,41.142162,206.5354,41.76239,1999-11-07 05:35:59,65.11666,37.51663,7.544344,34.502636,>,9.776049e+21,-5.019518e+21,4.756533e+21,2.7625434e+19,521.9971,626.99445,1.4997886e+20,-2239.4373,1696.6782,175.6793,7.0,102.8855
12,8782,1999-11-26 17:23:00,10.422555,-16.881762,19.05139,8.948461e+19,-3.453024e+20,3.591134e+20,8.553775e+17,120.36363,103.63637,-257.338,85.70997,1999-11-27 05:23:00,12.0,10.399854,-9.998821,13.39707,6.351157e+20,-2.7733265e+20,2.7257556e+20,3.1161932e+18,103.85715,93.57143,4.5469257e+19,-1217.401,816.408,-594.1524,17.95548,1004.5835,13.753379,-115.24639,18.319996,141.3894,13.753378,1999-11-28 11:47:59,58.399998,9.779575,7.5469513,11.385646,>,4.195918e+21,-2.0962954e+21,2.0996219e+21,1.5556738e+19,345.99915,428.99872,7.031564e+19,-2097.5725,1298.3533,14.408131,1.0,14.408131
13,8796,1999-12-12 11:38:00,-26.414932,-17.842789,30.996796,2.224502e+20,-3.1711463e+20,1.9172694e+19,1.4141554e+18,90.36369,11.090913,-697.9953,97.91228,1999-12-12 23:38:00,12.0,-26.49325,-11.200023,27.950483,1.00229735e+21,-6.90979e+20,4.2192628e+20,4.113318e+18,135.45456,97.09096,6.498726e+19,-1241.9321,874.99896,-1077.1458,30.59414,919.9057,28.342777,-216.80377,30.59416,194.19626,28.342777,1999-12-13 17:48:59,30.183332,-26.47401,-0.55779845,25.753054,,1.720294e+21,-1.0461078e+21,6.7418626e+20,7.278614e+18,210.90897,123.27268,4.9624865e+19,-1731.6663,1177.2682,10.708027,2.0,9.273873
14,8797,1999-12-12 11:43:00,-33.91652,-32.296852,44.91845,4.0299e+20,-1.454893e+21,6.9712644e+19,3.2587128e+18,405.72726,35.09091,-298.0593,95.120316,1999-12-12 23:43:00,12.0,-33.8686,-25.457485,40.827026,1.3237957e+21,-1.6315005e+21,1.162032e+20,7.667381e+18,436.27286,54.272655,7.673381e+19,-894.0976,755.9921,-1166.9474,41.43934,1210.416,41.74773,-231.15091,44.593716,190.40376,41.74773,1999-12-16 05:22:59,97.666664,-32.647938,17.761787,35.68177,,1.1767319e+22,-7.304012e+21,4.4633073e+21,4.3797067e+19,1102.5449,694.18176,1.16358325e+20,-2156.2283,1506.0555,105.966835,5.0,92.003654
15,8972,2000-04-20 15:48:00,33.09195,-18.93905,42.29913,1.3052363e+20,-2.571126e+20,5.9747406e+20,1.4033856e+18,53.090908,203.90909,-78.14758,199.39796,2000-04-21 03:48:00,12.0,32.975475,-12.648876,39.963657,1.9270956e+21,-1.5908899e+20,6.932772e+20,7.8326113e+18,50.272697,245.00005,1.4971434e+20,-1143.4424,1239.067,-1052.8177,40.88759,1437.7687,40.732834,-219.40182,41.19877,246.47412,40.732864,2000-04-24 06:04:59,98.33333,32.46928,25.595768,44.615005,,1.8037528e+22,-9.0160466e+21,9.0214813e+21,5.944341e+19,947.18134,1106.5461,1.8210514e+20,-2217.2383,1987.3899,354.71228,12.0,181.46825
16,8974,2000-04-22 18:01:00,-22.23798,17.08645,23.85455,2.8403522e+20,-2.443214e+20,3.2522613e+19,2.1326394e+18,77.727264,17.81819,-441.6942,123.08922,2000-04-23 06:01:00,12.0,-22.358934,24.176271,29.116714,7.662155e+20,-4.216133e+20,3.191396e+20,3.5304876e+18,93.90906,56.36365,4.018169e+19,-1184.9585,908.03973,-738.0509,28.579079,1142.319,25.018057,-143.58481,28.579058,221.06036,28.579058,2000-04-23 19:49:59,25.816666,-22.365904,32.27306,35.81868,,1.1490266e+21,-6.505797e+20,4.9844687e+20,5.8357767e+18,122.454544,109.49992,3.3505156e+19,-1361.5447,908.03973,4.023935,1.0,4.023935
17,8975,2000-04-23 03:45:00,-24.38862,-63.359818,63.7917,2.1360432e+19,-1.5850343e+19,2.810057e+19,3.066981e+17,4.5000005,8.227274,-91.96682,77.73464,2000-04-23 15:45:00,12.0,-24.427567,-55.520123,56.689175,4.2484887e+20,-9.883236e+19,2.6630031e+20,3.0312497e+18,18.727264,58.00003,3.3624035e+19,-539.31287,417.84406,-1131.2396,58.89328,1027.0653,58.217617,-288.64963,61.003952,261.63132,62.238876,2000-04-24 12:29:59,36.583332,-24.869505,-43.751728,46.466892,>,1.0128299e+21,-5.7573754e+20,4.3709208e+20,7.1116665e+18,133.9985,105.0,2.7101673e+19,-752.84863,747.75446,1.2519468,1.0,1.2519468
18,9003,2000-05-13 22:42:00,-18.489542,12.399531,19.80272,1.3198952e+20,-1.786322e+20,3.6223514e+19,1.1922069e+18,67.45452,20.727259,-259.64587,121.08627,2000-05-14 10:42:00,12.0,-18.47583,19.016798,24.405941,1.7272939e+21,-9.8399106e+20,8.085622e+20,6.5058103e+18,206.27246,113.363625,1.3294203e+20,-1327.1799,1220.5405,-783.88055,23.11168,1189.9773,23.757181,-153.62527,20.433308,199.96144,24.27592,2000-05-16 23:54:59,73.21666,-18.720514,53.571503,54.947773,>,3.8519986e+21,-2.1447191e+21,1.7072779e+21,2.110732e+19,325.99518,257.0006,5.080823e+19,-1743.9264,1883.3616,26.404123,3.0,11.567409
19,9013,2000-05-19 20:54:00,-6.160455,46.3216,46.387512,1.0572762e+20,-6.001679e+19,3.007885e+19,1.3530997e+18,26.272724,14.090909,-133.42659,132.03046,2000-05-20 08:54:00,12.0,-6.3159227,52.395092,52.40761,7.437927e+20,-3.6076268e+20,1.89873e+20,4.990113e+18,81.99998,43.454533,5.3172088e+19,-684.4969,498.09094,-1157.6029,50.87738,1218.2903,50.131145,-261.61432,46.387512,288.31738,52.21336,2000-05-20 17:28:59,23.316666,-6.601646,58.103664,58.028038,,1.0466584e+21,-7.015274e+20,3.4513096e+20,6.34447e+18,107.36368,53.81814,4.035443e+19,-705.06946,679.1396,1.3616437,1.0,1.3616437
